cp,front_time,end_time,ans_time,total_time,db,MCS,quality/70
DATA:0,26,51005,7,51038,-35.00,4,70
DATA:2,81,74,6,161,-35.00,5,70
DATA:2,82,145,6,233,-35.00,6,70
DATA:2,81,55,7,143,-35.00,6,70
DATA:2,81,114,6,201,-35.00,6,70
DATA:2,81,56,6,143,-35.00,6,70
DATA:2,81,56,8,145,-35.00,6,70
DATA:2,81,94,7,182,-35.00,7,70
DATA:2,81,56,7,144,-35.00,7,70
DATA:2,82,62,6,150,-35.00,7,70
DATA:2,82,92,6,180,-35.00,6,70
DATA:2,81,53,6,140,-35.00,6,70
DATA:2,81,110,7,198,-35.00,6,70
DATA:2,82,55,7,144,-35.00,7,70
DATA:2,81,50,8,139,-35.00,7,70
DATA:2,81,102,6,189,-35.00,7,70
DATA:2,82,53,7,142,-35.00,6,70
DATA:2,81,117,6,204,-35.00,7,70
DATA:2,81,137,8,226,-35.00,7,70
DATA:2,81,147,6,234,-35.00,6,70
DATA:2,81,56,7,144,-35.00,6,70
DATA:2,81,95,6,182,-35.00,7,70
DATA:2,81,52,7,140,-35.00,7,70
DATA:2,81,54,6,141,-35.00,7,70
DATA:2,82,97,7,186,-35.00,6,70
DATA:2,81,54,7,142,-35.00,7,70
DATA:2,81,116,6,203,-35.00,6,70
DATA:2,81,55,6,142,-35.00,7,70
DATA:2,82,55,6,143,-35.00,7,70
DATA:2,81,63,6,150,-35.00,6,70
DATA:2,81,52,7,140,-35.00,7,70
DATA:2,81,154,6,241,-35.00,7,70
DATA:2,81,54,7,142,-35.00,6,70
DATA:2,81,51,7,139,-35.00,4,70
DATA:2,81,74,8,163,-35.00,6,70
DATA:2,81,59,7,147,-35.00,6,70
DATA:2,81,53,7,141,-35.00,5,70
DATA:2,81,99,7,187,-35.00,5,70
DATA:2,81,54,6,141,-35.00,5,70
DATA:2,81,135,7,223,-35.00,5,70
DATA:2,81,49,6,136,-35.00,4,70
DATA:2,81,53,7,141,-35.00,4,70
DATA:2,81,50,7,138,-35.00,3,70
DATA:2,81,116,7,204,-35.00,4,70
DATA:2,81,134,7,222,-35.00,5,70
DATA:2,82,153,7,242,-35.00,5,70
DATA:2,81,128,7,216,-35.00,5,70
DATA:2,81,143,7,231,-35.00,4,70
DATA:2,82,57,6,145,-35.00,3,70
DATA:2,82,52,7,141,-35.00,3,70
DATA:2,81,114,6,201,-35.00,3,70
DATA:2,82,52,7,141,-35.00,3,70
DATA:2,81,53,7,141,-35.00,4,70
DATA:2,81,119,7,207,-35.00,5,70
DATA:2,81,53,8,142,-35.00,5,70
DATA:2,81,124,7,212,-35.00,5,70
DATA:2,82,56,6,144,-35.00,5,70
DATA:2,81,150,6,237,-35.00,5,70
DATA:2,82,121,7,210,-35.00,5,70
DATA:2,82,134,6,222,-35.00,6,70
DATA:2,81,54,7,142,-35.00,6,70
DATA:2,82,346,7,435,-35.00,6,70
DATA:2,81,135,6,222,-35.00,6,70
DATA:2,81,137,8,226,-35.00,6,70
DATA:2,81,56,8,145,-35.00,6,70
DATA:2,81,59,6,146,-35.00,6,70
DATA:2,81,106,8,195,-35.00,6,70
DATA:2,82,61,6,149,-35.00,6,70
DATA:2,81,106,8,195,-35.00,7,70
DATA:2,81,50,6,137,-35.00,7,70
DATA:2,81,317,6,404,-35.00,7,70
DATA:2,81,173,8,262,-35.00,7,70
DATA:2,81,143,8,232,-35.00,7,70
DATA:2,82,74,6,162,-35.00,7,70
DATA:2,81,48,6,135,-35.00,7,70
DATA:2,81,88,6,175,-35.00,7,70
DATA:2,81,77,7,165,-35.00,6,70
DATA:2,81,61,7,149,-35.00,6,70
DATA:2,81,88,6,175,-35.00,7,70
DATA:2,81,77,8,166,-35.00,7,70
DATA:2,81,79,8,168,-35.00,7,70
DATA:2,82,46,7,135,-35.00,7,70
DATA:2,82,153,7,242,-35.00,7,70
DATA:2,81,86,7,174,-35.00,7,70
DATA:2,81,152,7,240,-35.00,7,70
DATA:2,81,87,6,174,-35.00,6,70
DATA:2,82,80,6,168,-35.00,6,70
DATA:2,81,86,6,173,-35.00,7,70
DATA:2,81,53,7,141,-35.00,6,70
DATA:2,81,235,6,322,-35.00,6,70
DATA:2,82,144,7,233,-35.00,6,70
DATA:2,81,55,8,144,-35.00,6,70
DATA:2,81,103,7,191,-35.00,6,70
DATA:2,81,163,8,252,-35.00,6,70
DATA:2,81,58,6,145,-35.00,6,70
DATA:2,81,91,7,179,-35.00,6,70
DATA:2,81,88,7,176,-35.00,6,70
DATA:2,81,145,6,232,-35.00,6,70
DATA:2,81,210,6,297,-35.00,6,70
DATA:2,82,52,7,141,-35.00,6,70
DATA:2,81,4146,7,4234,-35.00,4,70
