cp,fron,end,ans,total,ping
4,158,449,3,610,17.4
6,221,188,3,412,44.4
7,256,141,3,400,11.8
2,95,750,3,848,3.54
8,286,0,3,289,592
8,286,0,3,289,231
8,286,0,3,289,110
8,286,0,3,289,16.6
1,62,648,4,714,263
5,190,118,3,311,491
6,221,194,3,418,35.0
8,286,0,3,289,558
8,286,0,3,289,363
7,256,1267,3,1526,90.0
8,285,0,3,288,206
8,286,0,3,289,186
8,286,0,3,289,139
8,286,0,3,289,682
8,286,0,3,289,314
8,286,0,3,289,59.8
8,286,0,3,289,97.5
8,286,0,3,289,437
8,286,0,3,289,44.0
1,62,2386,3,2451,43.3
8,285,0,3,288,118
8,286,0,3,289,21.1
8,286,0,3,289,7.23
8,286,0,3,289,97.1
1,62,2597,3,2662,29.4
8,285,0,3,288,12.4
8,286,0,3,289,115
8,286,0,3,289,99.9
8,286,0,3,289,16.7
2,96,1592,4,1692,9.30
8,286,0,3,289,16.2
8,286,0,3,289,3.12
8,286,0,3,289,8.07
8,286,0,3,289,12.2
2,96,328,3,427,7.31
8,286,0,3,289,7.18
8,286,0,3,289,15.7
8,286,0,3,289,17.5
8,286,0,3,289,20.2
5,190,109,3,302,2.28
8,285,0,3,288,9.65
8,286,0,3,289,15.1
8,286,0,3,289,26.8
8,286,0,3,289,2.95
5,190,135,4,329,11.8
8,286,0,3,289,8.14
8,286,0,3,289,12.9
8,286,0,3,289,47.5
8,286,0,3,289,6.69
7,256,61,3,320,24.0
8,286,0,3,289,14.3
8,286,0,3,289,15.6
8,286,0,3,289,13.5
8,286,0,3,289,8.34
6,221,92,4,317,4.17
8,286,0,3,289,5.65
8,286,0,3,289,17.0
8,286,0,3,289,8.74
8,286,0,3,289,6.47
8,286,0,3,289,30.4
8,286,0,3,289,8.32
8,286,0,3,289,16.1
8,286,0,3,289,12.2
8,286,0,3,289,16.1
1,63,145,3,211,3.07
8,285,0,3,288,12.9
8,286,0,3,289,1.53
8,286,0,3,289,15.9
8,286,0,3,289,4.78
6,221,103,3,327,7.24
8,285,0,3,288,5.45
8,286,0,3,289,5.53
8,286,0,3,289,5.92
8,286,0,3,289,2.89
3,127,121,3,251,5.61
8,286,0,3,289,6.26
8,286,0,3,289,27.2
8,286,0,3,289,9.93
8,286,0,3,289,16.8
7,256,52,3,311,12.0
8,286,0,3,289,8.03
8,286,0,3,289,3.23
8,286,0,3,289,16.9
8,286,0,3,289,8.60
2,96,332,3,431,5.90
8,285,0,3,288,1.94
8,286,0,3,289,9.16
8,286,0,3,289,10.4
8,286,0,3,289,13.6
7,256,55,3,314,6.58
8,286,0,3,289,7.76
8,286,0,3,289,14.8
8,286,0,3,289,13.6
8,286,0,3,289,12.7
3,127,90,3,220,54.1
5,190,30,3,223,6.76
5,190,75,3,268,6.24
5,189,166,3,358,3.54
5,190,84,3,277,2.98
5,190,148,3,341,3.40
8,286,0,3,289,9.29
8,286,0,3,289,8.68
8,286,0,3,289,9.91
8,286,0,3,289,28.6
2,96,204,3,303,6.04
4,158,354,3,515,13.1
5,189,139,3,331,34.5
8,285,0,3,288,6.95
8,286,0,3,289,8.37
7,256,117,3,376,7.66
8,285,0,3,288,19.4
8,286,0,3,289,11.4
8,286,0,3,289,13.6
8,286,0,3,289,2.85
8,286,0,3,289,8.18
8,286,0,3,289,12.6
8,286,0,3,289,11.5
8,286,0,3,289,9.43
8,286,0,3,289,14.9
1,62,1748,3,1813,1.81
8,286,0,3,289,9.44
8,286,0,3,289,7.27
8,286,0,3,289,14.1
8,286,0,3,289,18.5
1,62,621,3,686,7.36
5,190,140,3,333,2.92
8,286,0,3,289,12.7
8,286,0,3,289,5.86
8,286,0,3,289,25.5
2,96,327,3,426,6.27
8,286,0,3,289,29.2
8,286,0,3,289,12.5
8,286,0,3,289,18.2
8,286,0,3,289,18.0
6,221,303,4,528,8.46
8,286,0,3,289,14.1
8,286,0,3,289,10.2
8,286,0,3,289,9.23
8,286,0,3,289,23.4
8,286,0,3,289,15.9
8,286,0,3,289,17.3
8,286,0,3,289,16.3
8,286,0,3,289,6.42
8,286,0,3,289,5.14
1,62,1057,4,1123,11.9
8,286,0,3,289,4.73
8,286,0,3,289,4.28
8,286,0,3,289,10.2
8,286,0,3,289,3.59
5,190,135,3,328,7.38
8,285,0,3,288,2.89
