cp,fron,end,ans,total,ping
7,336,70,3,409,15.7
1,82,162,3,247,25.5
8,375,0,3,378,3.24
5,250,54,3,307,7.09
4,208,84,3,295,2.42
0,40,213,3,256,2.56
0,40,140,3,183,6.86
0,40,156,3,199,11.8
0,40,240,3,283,6.36
0,40,205,3,248,10.3
0,40,230,3,273,3.72
0,40,180,3,223,6.93
0,40,220,3,263,54.2
0,40,196,3,239,7.49
0,40,224,3,267,6.63
0,40,159,3,202,6.30
0,40,296,3,339,4.05
0,40,228,4,272,27.4
0,40,235,4,279,11.5
0,40,247,3,290,9.82
0,40,225,3,268,46.3
0,40,209,3,252,1.98
0,41,324,4,369,5.13
3,167,212,3,382,6.58
0,40,220,3,263,2.17
0,40,292,4,336,3.47
0,40,67,4,111,13.1
0,40,138,3,181,1.61
0,40,81,3,124,2.24
0,41,77,3,121,3.54
0,40,75,4,119,4.51
0,41,95,4,140,3.30
0,40,154,3,197,7.47
0,40,102,3,145,3.05
0,40,137,3,180,10.6
0,40,151,3,194,9.96
0,41,198,3,242,2.98
0,40,179,4,223,7.62
0,40,141,4,185,6.92
0,40,132,3,175,3.61
0,40,166,3,209,2.03
0,40,190,4,234,4.23
0,40,71,3,114,6.53
0,40,125,3,168,1.76
0,41,175,3,219,1.79
0,40,118,4,162,3.51
0,40,216,3,259,2.75
0,40,134,3,177,1.75
0,41,78,3,122,6.80
0,40,130,3,173,9.54
0,40,105,3,148,1.81
0,40,89,3,132,4.58
0,40,65,3,108,5.37
0,40,185,3,228,1.77
0,40,118,3,161,5.03
0,40,182,4,226,1.89
0,40,108,3,151,2.16
0,40,104,3,147,4.76
0,40,114,3,157,1.84
0,40,77,3,120,2.88
0,40,183,3,226,4.46
0,40,77,3,120,1.99
0,40,83,3,126,5.67
0,40,164,3,207,5.99
0,40,114,4,158,13.2
0,40,141,3,184,1.78
0,40,126,3,169,2.21
0,40,128,4,172,77.0
0,40,150,4,194,27.9
0,40,64,3,107,1.74
0,40,125,4,169,2.97
0,40,76,3,119,2.99
0,40,119,3,162,1.77
0,40,119,3,162,2.88
0,40,123,3,166,1.83
0,40,69,3,112,3.17
0,40,119,3,162,7.96
0,40,99,3,142,4.41
0,40,69,3,112,2.01
0,40,118,4,162,5.21
0,40,237,3,280,1.99
0,41,186,3,230,8.49
0,40,130,4,174,3.23
0,40,147,3,190,8.53
0,40,76,4,120,16.2
0,40,192,3,235,3.55
0,41,116,3,160,1.78
0,40,130,3,173,4.47
0,40,68,4,112,2.12
0,40,124,3,167,6.36
0,40,136,3,179,1.88
0,40,85,3,128,6.36
0,40,190,4,234,3.73
0,40,68,3,111,5.87
0,40,133,3,176,11.6
0,40,113,4,157,7.57
0,40,85,3,128,16.0
0,40,230,3,273,2.64
0,40,76,3,119,2.38
0,40,113,4,157,7.38
0,40,67,3,110,1.69
0,40,67,3,110,1.86
0,40,106,4,150,1.71
0,40,120,3,163,7.20
0,41,1555,3,1599,2.60
0,40,133,3,176,6.63
0,40,79,3,122,1.76
0,40,109,3,152,1.97
0,40,194,3,237,8.21
0,40,91,3,134,2.06
0,40,128,3,171,7.32
0,40,80,4,124,1.65
0,40,83,3,126,1.73
0,40,115,3,158,5.26
0,40,100,3,143,5.42
0,40,133,3,176,2.05
0,40,134,3,177,6.95
0,40,115,3,158,2.14
0,40,81,3,124,1.67
0,40,67,3,110,1.51
0,40,68,3,111,1.85
0,40,134,3,177,7.47
0,40,120,3,163,1.77
0,40,163,3,206,3.24
0,40,110,4,154,5.70
0,40,90,3,133,2.71
0,40,112,4,156,3.53
0,41,116,3,160,2.04
0,41,88,3,132,4.44
0,41,116,4,161,3.56
0,40,69,3,112,3.20
0,40,116,3,159,1.72
0,40,81,3,124,3.98
0,40,110,3,153,12.7
0,40,83,3,126,3.84
0,40,125,3,168,1.96
0,41,113,3,157,4.18
0,40,123,3,166,2.51
0,40,126,4,170,2.40
0,40,75,3,118,1.52
0,40,116,3,159,1.68
0,40,118,3,161,1.57
0,40,117,3,160,3.04
0,40,76,3,119,1.84
0,40,69,3,112,2.15
0,40,110,3,153,3.02
0,40,114,4,158,1.59
0,40,113,3,156,3.59
0,40,73,3,116,1.65
0,40,75,3,118,1.84
0,40,134,3,177,1.83
0,40,82,3,125,2.72
0,40,124,3,167,2.12
0,40,85,3,128,2.34
0,40,816,3,859,550
0,41,512,3,556,3.21
0,40,147,3,190,2.33
0,40,189,4,233,9.31
0,40,108,3,151,2.66
0,40,114,3,157,2.03
0,41,153,3,197,5.42
0,40,150,3,193,4.60
0,40,114,3,157,14.0
0,40,148,4,192,9.38
0,40,248,3,291,6.57
0,40,115,3,158,16.6
0,41,92,3,136,10.7
0,40,143,3,186,2.44
0,40,113,3,156,10.6
0,40,164,4,208,2.79
0,40,81,4,125,5.51
0,40,92,3,135,4.68
0,40,158,3,201,1.62
0,40,76,4,120,11.8
0,40,96,3,139,14.7
0,40,283,3,326,9.17
0,41,153,4,198,7.72
0,40,152,4,196,10.5
0,40,1305,3,1348,3.71
0,40,101,4,145,3.91
0,40,94,3,137,4.30
0,40,81,3,124,5.02
0,40,122,3,165,5.28
0,40,142,3,185,6.95
0,40,94,3,137,3.12
0,40,146,3,189,2.69
0,40,389,3,432,6.98
0,40,105,4,149,2.57
0,40,22376,3,22419,3.39
5,250,178,3,431,4.00
2,125,334,3,462,6.61
3,166,40,3,209,14.5
3,167,118,3,288,2.61
3,167,157,3,327,8.41
3,167,181,3,351,5.45
3,167,94,3,264,2.29
3,166,247,3,416,3.15
3,166,86,3,255,9.91
3,167,187,3,357,2.54
3,167,119,3,289,10.7
3,166,178,5,349,5.97
3,166,94,3,263,3.44
3,167,71,3,241,10.8
3,166,139,4,309,1.57
3,166,163,3,332,12.5
3,167,46,3,216,6.66
3,167,72,3,242,3.07
3,167,50,4,221,3.91
3,166,56,4,226,3.11
3,166,89,3,258,1.77
3,167,112,3,282,8.05
3,166,119,3,288,15.9
3,167,293,4,464,4.86
3,166,68,3,237,2.23
3,166,39,3,208,3.09
3,167,80,3,250,3.73
3,166,179,3,348,4.77
3,167,293,3,463,3.92
3,166,88,3,257,5.88
3,166,74,3,243,2.58
3,167,112,3,282,4.19
3,167,104,3,274,13.2
3,167,86,3,256,17.2
3,166,90,3,259,5.38
3,166,82,3,251,4.34
3,167,108,3,278,4.84
3,166,102,3,271,1.69
3,166,213,4,383,7.01
3,166,129,3,298,2.33
3,167,166,3,336,16.1
3,166,106,3,275,1.68
3,166,74,3,243,10.2
3,167,183,3,353,7.64
3,167,109,4,280,1.71
3,166,43,3,212,4.52
3,167,37,3,207,1.67
3,167,91,3,261,1.73
3,167,171,4,342,7.35
3,167,72,3,242,5.09
3,166,150,3,319,2.08
3,166,86,3,255,7.25
3,167,67,3,237,4.46
3,167,47,4,218,6.29
3,167,43,4,214,1.53
3,167,73,4,244,2.86
3,167,79,4,250,4.62
3,167,171,3,341,4.19
3,166,105,3,274,1.89
3,167,42,3,212,1.55
3,166,126,3,295,1.95
3,166,115,4,285,1.56
3,167,46,3,216,2.24
3,166,86,4,256,5.23
3,167,118,3,288,1.74
3,167,91,4,262,6.71
3,167,162,3,332,7.11
3,166,159,4,329,5.87
3,167,113,3,283,7.49
3,166,101,3,270,2.22
3,167,113,4,284,1.54
3,167,94,3,264,7.07
3,166,41,3,210,2.12
3,166,151,4,321,5.10
3,167,141,3,311,3.94
3,166,198,3,367,13.2
3,166,173,3,342,7.83
3,166,63,3,232,16.4
3,167,93,3,263,5.86
3,166,161,4,331,4.97
3,167,159,3,329,14.3
3,167,131,3,301,2.40
3,166,201,3,370,4.70
3,167,77,3,247,3.14
3,166,81,3,250,2.51
3,166,287,3,456,10.8
3,167,130,3,300,1.63
3,166,60,3,229,2.70
3,166,49,3,218,5.15
3,166,121,3,290,2.03
3,166,98,4,268,3.51
3,167,67,4,238,5.77
3,167,190,4,361,2.28
3,167,176,3,346,7.29
3,166,83,3,252,6.13
3,166,66,3,235,8.41
3,166,129,4,299,11.3
3,166,147,3,316,2.16
3,166,75,3,244,9.76
3,166,224,3,393,5.91
3,166,278,3,447,13.9
3,166,280,3,449,8.58
3,166,395,3,564,4.86
3,167,169,3,339,3.48
3,166,136,3,305,2.08
3,166,185,3,354,27.3
3,166,289,3,458,15.8
3,166,83,3,252,3.38
3,166,60,3,229,4.70
3,166,126,3,295,28.8
3,167,106,3,276,7.21
3,166,121,4,291,8.13
3,166,47,4,217,11.6
3,166,50,3,219,3.52
3,167,107,4,278,11.5
3,167,143,3,313,16.6
3,166,165,3,334,4.91
3,167,158,3,328,14.6
3,167,119,3,289,5.20
3,167,229,4,400,9.88
3,167,103,4,274,158
3,167,208,3,378,50.5
3,166,66,4,236,15.5
3,167,159,3,329,2.27
3,166,45,3,214,8.51
3,166,53,3,222,2.88
