fi[0],fi[1],fi[2],fi[3],fi[4],fi[5],fi[6],fi[7],fi[8],ei[0],ei[1],ei[2],ei[3],ei[4],ei[5],ei[6],ei[7]
25,52,81,107,134,161,187,217,242,551,573,181,185,110,122,98,180
25,52,82,107,134,161,187,216,242,173,192,184,115,118,126,84,78
25,53,81,107,134,161,187,217,242,219,184,160,90,65,42,79,62
25,52,81,107,134,160,187,216,242,148,140,179,90,232,159,124,86
25,52,81,107,134,161,187,217,242,187,152,141,152,122,95,39,54
25,53,81,107,134,160,187,217,241,105,157,122,138,85,153,44,61
25,53,81,107,134,160,187,217,242,194,259,151,199,101,170,54,60
25,53,81,108,134,161,187,217,242,230,135,160,122,115,160,206,104
25,53,81,107,134,161,187,216,242,326,143,240,167,201,39,222,129
25,52,81,107,134,161,186,217,242,175,213,203,217,84,200,89,82
25,52,81,107,134,161,187,217,242,220,166,174,123,187,114,93,86
25,53,81,107,134,160,187,216,242,184,139,273,167,168,82,56,58
25,52,81,107,134,161,187,217,242,193,230,700,327,90,91,81,77
25,53,81,107,134,161,187,217,242,339,163,121,124,141,139,213,54
25,53,81,108,134,161,187,217,242,111,129,114,97,69,88,112,57
25,52,81,107,134,160,187,217,242,170,143,194,223,94,49,94,53
25,52,81,107,134,160,187,216,242,121,155,196,78,94,66,86,53
25,53,81,108,134,160,187,217,242,154,133,124,82,120,41,36,53
25,52,81,107,134,161,187,217,242,150,222,125,67,135,85,35,55
25,53,81,108,134,161,187,217,241,119,115,144,221,444,42,75,63
25,52,81,108,134,161,187,217,242,235,145,208,215,127,48,72,60
25,52,81,108,134,161,187,217,242,114,162,98,154,112,153,89,62
25,52,81,107,134,161,187,217,242,123,190,124,69,180,42,87,327
25,52,81,107,134,161,187,216,242,143,203,157,67,192,84,79,506
25,52,81,108,134,161,187,216,242,194,170,183,400,253,53,440,914
25,53,81,107,134,161,187,216,242,836,115,108,145,107,55,82,58
25,52,82,108,134,161,187,216,242,325,187,146,123,116,49,44,72
25,53,81,107,134,160,187,217,242,132,118,157,203,119,72,89,83
25,53,81,107,134,161,187,217,242,149,156,178,72,58,254,473,487
25,52,82,107,134,161,187,216,242,429,173,164,67,76,544,425,405
25,53,81,107,134,160,187,216,242,197,151,114,405,59,99,81,58
25,53,81,107,134,161,187,217,242,192,117,164,116,108,45,45,63
25,52,81,107,134,161,187,217,242,164,170,168,100,81,37,82,102
25,52,81,107,134,160,187,217,242,174,184,301,110,187,91,79,73
25,52,82,107,134,161,187,217,242,154,198,133,105,114,37,77,50
25,52,81,107,134,161,187,216,241,139,182,122,110,139,193,129,360
25,53,82,108,134,161,187,216,242,201,132,171,107,117,115,110,192
25,52,82,107,134,161,187,217,242,227,100,112,100,142,86,102,70
25,52,82,107,134,161,187,217,241,125,200,137,74,117,37,132,84
25,53,81,107,134,161,187,216,241,127,119,115,116,114,89,43,64
25,52,81,107,134,161,187,216,242,146,189,190,184,213,87,85,117
25,53,81,107,134,160,187,216,242,228,159,150,105,216,49,45,59
25,53,81,108,134,160,187,217,241,194,152,210,84,156,147,94,76
25,52,82,107,134,161,187,217,242,214,182,124,152,106,88,78,61
25,53,81,107,134,161,187,217,242,198,188,174,115,149,49,164,67
25,53,81,107,134,160,187,216,242,176,169,95,326,225,41,49,53
25,53,81,107,134,161,187,216,242,182,144,186,78,495,83,364,54
25,52,81,107,134,161,187,217,242,181,177,175,92,111,84,79,60
25,53,81,107,134,161,187,217,241,211,116,115,127,116,225,54,50
25,53,81,107,134,161,187,217,242,117,134,169,77,120,122,55,61
25,52,81,108,134,161,187,216,242,160,192,152,69,106,43,95,56
25,53,81,107,134,160,187,217,241,212,188,160,104,144,47,84,50
25,53,82,108,134,161,187,217,242,117,193,130,68,299,76,41,53
25,53,81,107,134,161,187,217,242,670,158,137,62,119,171,129,194
25,53,81,107,134,161,187,217,242,165,138,154,65,66,177,48,55
25,52,81,107,134,160,187,217,241,159,154,159,132,108,69,68,57
25,53,81,107,134,161,186,217,241,126,173,106,336,65,172,78,511
25,52,81,107,134,161,187,216,242,281,154,128,185,153,130,136,94
25,53,81,107,134,161,187,217,242,239,153,142,133,107,177,49,65
25,53,81,108,134,161,187,217,242,119,106,151,157,126,86,110,61
25,52,81,107,134,160,187,217,242,153,154,107,76,141,39,139,75
25,52,82,108,134,160,187,216,242,212,114,135,104,108,80,42,138
25,53,81,107,134,161,187,216,241,95,163,123,74,78,83,81,64
25,53,81,108,134,161,187,217,242,114,164,153,61,105,36,81,62
25,53,81,107,134,161,187,217,242,152,147,115,72,126,129,126,53
25,53,81,108,134,161,187,217,242,154,126,169,64,65,90,114,68
25,53,81,108,134,160,187,216,242,151,130,103,109,130,86,88,58
25,53,81,108,134,160,187,217,242,124,205,160,120,70,87,85,56
