fi[0],fi[1],fi[2],fi[3],fi[4],fi[5],fi[6],fi[7],fi[8],ei[0],ei[1],ei[2],ei[3],ei[4],ei[5],ei[6],ei[7]
25,52,81,107,134,161,187,216,242,216,112,171,56,82,116,139,73
25,52,81,107,134,160,187,217,242,122,138,122,73,163,82,79,55
25,53,81,107,134,161,186,217,241,142,178,113,186,111,46,135,74
25,53,81,107,134,161,187,216,242,276,140,156,123,91,87,167,123
25,52,81,107,134,160,187,217,242,230,208,239,185,157,70,106,100
25,52,81,107,134,161,186,217,242,184,314,198,196,137,89,147,86
25,53,81,107,134,160,186,217,242,155,177,285,75,132,103,44,81
25,52,81,107,134,161,187,217,242,186,139,189,193,177,209,103,95
25,52,81,107,134,160,186,217,242,163,266,179,119,133,125,199,166
25,52,80,107,134,161,187,216,242,260,197,201,143,124,141,88,107
25,52,81,107,134,161,186,217,241,138,156,193,161,124,49,67,54
25,52,80,107,134,160,187,216,242,197,212,143,138,121,73,78,127
25,53,81,107,134,160,186,217,242,207,160,158,83,79,216,39,84
25,53,81,107,133,161,186,217,241,325,156,140,61,164,33,88,121
25,53,81,107,134,161,186,217,242,257,129,183,458,106,96,123,64
25,52,81,107,134,161,187,216,242,165,141,139,62,106,90,38,67
25,53,81,107,134,160,186,216,241,99,138,102,107,66,91,78,65
25,52,81,108,134,161,187,216,241,187,144,134,52,54,33,77,47
25,53,81,108,134,161,187,216,242,108,112,99,53,57,37,102,55
25,53,81,107,134,161,187,217,241,118,107,150,218,69,124,48,57
25,53,81,108,134,160,187,217,241,148,145,166,443,63,286,32,482
25,53,81,107,133,160,186,216,241,738,341,114,102,87,47,83,62
25,52,81,107,134,160,186,217,241,124,143,140,115,114,45,75,159
25,52,81,107,134,160,186,216,242,1727,135,119,10371,2093,10,10,10
25,53,81,107,134,160,187,217,242,284,369,311,326,144,123,69,88
25,53,81,107,134,160,187,216,242,330,212,420,164,64,51,77,71
25,53,81,107,134,160,186,216,242,141,155,112,60,123,39,89,58
25,52,81,107,133,161,187,217,241,108,154,128,72,175,337,84,73
25,52,81,107,133,160,186,216,241,180,151,155,59,137,51,95,62
25,53,81,107,134,160,187,217,241,111,145,172,99,75,119,94,63
25,53,81,107,134,160,186,217,242,233,155,128,150,102,161,82,76
25,52,81,107,134,161,187,217,242,136,122,180,94,82,149,94,49
25,53,81,107,134,161,186,217,242,152,116,146,99,110,82,48,73
25,53,81,107,133,160,187,217,241,231,130,135,238,104,76,33,52
25,53,81,107,133,161,187,216,242,155,154,111,112,140,119,41,50
25,53,81,107,134,161,186,216,242,164,154,103,51,58,86,75,93
25,52,80,107,134,161,186,216,242,146,116,156,256,111,33,35,245
25,53,81,107,133,161,187,217,242,161,144,165,325,76,178,34,49
25,53,81,107,134,160,187,216,242,152,107,152,126,148,34,256,55
25,53,81,107,134,160,187,216,241,150,156,101,102,100,33,30,55
25,53,81,107,134,160,186,216,242,107,150,162,112,60,116,31,75
25,53,80,107,134,160,187,217,241,154,109,168,102,101,74,34,49
25,53,81,107,133,161,186,217,242,159,102,158,112,63,126,149,59
25,52,81,107,133,160,187,216,242,180,139,184,105,64,89,318,200
25,53,80,107,134,160,187,216,242,148,165,102,189,121,123,35,54
25,53,81,107,133,160,187,217,242,192,154,154,115,96,106,29,54
25,53,80,107,134,160,187,217,241,205,151,117,143,186,141,34,58
25,52,81,107,133,161,186,216,242,106,108,116,190,124,89,38,53
25,53,80,107,133,160,186,216,242,213,155,102,107,54,35,92,81
25,53,81,107,134,161,187,216,241,165,106,149,104,59,30,141,84
25,53,80,107,134,161,186,217,242,185,115,173,122,55,103,32,62
25,53,81,107,133,161,187,216,241,220,144,127,57,102,36,99,58
25,52,81,107,134,161,186,216,242,179,106,97,110,172,45,75,59
25,52,81,107,133,160,187,217,242,159,144,145,104,62,141,30,71
25,52,81,107,134,160,187,216,242,208,108,160,109,98,36,75,59
25,52,81,107,134,160,187,217,241,200,247,100,189,139,76,75,60
25,52,81,107,134,160,187,217,242,164,162,159,171,77,1369,101,58
25,52,81,107,134,160,187,217,242,110,159,155,98,140,75,29,64
25,53,81,107,134,161,186,216,241,121,110,158,60,56,33,55,122
25,52,81,107,134,161,186,217,242,109,110,144,66,105,90,165,54
25,53,80,107,134,160,187,217,242,216,145,151,268,75,238,273,334
25,53,81,107,134,161,187,217,242,557,176,160,221,97,137,67,68
25,53,81,107,134,160,187,216,242,138,144,117,108,108,143,39,56
25,53,81,107,133,161,186,216,242,105,152,172,114,126,89,338,358
25,52,81,107,133,160,187,216,242,155,120,157,279,137,37,85,475
25,52,81,107,134,161,186,216,242,205,159,151,70,73,228,95,159
25,53,81,107,134,160,187,217,242,158,107,156,69,151,32,135,403
25,52,81,107,134,160,187,217,241,139,106,104,104,61,76,91,122
25,52,81,107,134,161,186,216,242,154,111,110,98,59,35,33,51
25,53,81,107,133,160,187,217,241,145,162,117,207,106,32,98,57
25,53,81,107,134,160,187,217,242,124,101,111,379,76,257,75,2000
25,52,81,107,133,160,186,216,241,7757,83,10,10,10,10,10,10
