cp,fi[0],fi[1],fi[2],fi[3],fi[4],fi[5],fi[6],fi[7],fi[8],ei[0],ei[1],ei[2],ei[3],ei[4],ei[5],ei[6],ei[7]
2,25,52,81,107,134,160,186,216,242,219,234,124,97,159,121,71,98
8,25,53,81,107,133,160,187,216,241,231,174,90,96,59,151,245,147
6,25,53,81,107,134,160,186,216,242,300,111,272,127,201,76,188,109
1,25,53,81,107,134,160,186,216,241,189,217,102,64,106,52,43,105
7,25,52,81,107,134,161,187,216,241,180,204,111,57,106,35,93,84
4,25,53,81,106,134,161,186,217,241,215,114,138,168,160,161,71,83
3,25,53,80,107,133,160,187,217,241,159,145,146,96,62,78,153,164
0,25,52,81,107,134,160,187,217,241,265,155,84,131,122,117,72,121
5,25,53,81,107,133,160,187,216,241,267,117,119,143,48,99,101,99
3,25,53,81,107,133,161,187,217,241,182,176,97,79,188,149,81,72
3,25,53,81,107,134,161,186,216,241,111,122,81,101,65,67,87,62
3,25,52,81,107,133,161,186,216,241,251,122,95,58,152,85,86,427
3,25,52,81,107,134,160,187,217,241,157,88,91,88,2023,126,10,0
3,25,53,81,107,134,160,187,216,242,233,54,60,28,26,9,10,0
3,25,52,81,107,133,160,186,216,242,55,52,53,30,27,12,10,0
3,25,53,81,107,133,161,186,216,242,73,56,53,25,27,11,11,0
3,25,52,81,107,134,160,186,216,242,50,58,54,27,25,11,11,0
3,25,53,81,107,134,160,186,216,242,165,51,48,24,22,11,10,0
3,25,52,81,107,134,160,187,216,242,50,49,50,25,24,10,10,0
3,25,52,80,107,134,160,186,216,242,4571,50,103,27,23,10,14,0
3,25,52,81,107,133,160,187,216,242,113,52,56,26,28,9,12,0
3,25,52,81,107,133,160,186,216,242,51,47,53,27,25,10,12,0
3,25,52,81,107,134,160,187,217,241,55,58,51,27,23,9,70,0
3,25,52,81,107,134,160,187,216,241,539,55,53,874,24,11,10,38
3,25,52,81,107,133,161,187,216,241,328,62,54,21,24,9,10,0
3,25,53,81,107,133,161,187,216,242,79,54,49,24,25,9,11,0
3,25,53,81,107,133,160,187,216,242,48,55,73,28,21,10,9,0
3,25,52,81,107,134,160,187,216,242,52,67,53,27,25,9,11,0
3,25,53,81,107,134,160,187,216,242,78,52,51,24,25,9,11,0
