power cons,cutting point
9.621,0
52.281,1
52.06,2
52.06,3
52.504,4
52.504,5
52.504,6
52.255,7
52.255,8
52.167,9
52.167,10
52.533,11
52.35,12
52.35,13
51.211,14
51.211,15
51.264,16
51.264,17
51.264,0
50.81,4
50.81,5
51.026,6
51.026,7
51.026,8
50.533,9
50.533,10
50.539,11
50.539,12
50.539,13
50.648,14
50.648,15
50.793,16
50.793,17
50.793,0
50.826,1
50.826,2
50.826,3
50.902,4
50.902,5
50.902,6
50.577,7
50.577,8
50.699,9
50.699,10
50.699,11
50.906,12
50.906,13
50.958,14
50.958,15
50.958,16
50.792,17
50.792,0
50.792,1
50.89,2
50.89,3
51.006,4
51.006,5
51.006,6
50.891,7
50.891,8
51.028,9
51.028,10
51.028,11
50.831,12
50.831,13
50.831,14
50.177,15
50.177,16
50.385,17
50.385,0
50.385,1
50.385,2
50.647,3
50.647,4
50.412,5
50.412,6
50.412,7
50.185,8
50.185,9
50.244,10
50.244,11
50.276,12
50.276,13
50.69,14
50.69,15
50.69,16
50.471,17
50.471,0
50.471,1
50.552,2
50.552,3
50.552,4
51.207,5
51.207,6
51.319,7
51.319,8
51.319,9
51.254,10
51.254,11
51.164,12
51.164,13
51.037,14
51.037,15
51.066,16
51.066,17
51.066,0
51.242,1
51.242,2
51.242,3
51.394,4
51.394,5
51.394,6
51.635,7
51.635,8
51.635,9
51.089,10
51.089,11
51.253,12
51.253,13
51.257,14
51.257,15
50.915,16
50.915,17
50.915,0
50.9,1
50.9,2
50.9,3
50.856,4
50.856,5
51.117,6
51.117,7
51.117,8
51.046,9
51.046,10
51.255,11
51.255,12
51.255,13
51.033,14
51.033,15
50.566,16
50.566,17
50.566,0
50.68,1
50.68,2
50.68,3
50.953,4
50.953,5
50.953,6
50.633,7
50.633,8
50.79,9
50.79,10
50.79,11
50.483,12
50.483,13
50.447,14
50.447,15
51.131,16
51.131,17
51.131,0
51.328,1
51.328,2
51.328,3
51.541,4
51.541,5
51.767,6
51.767,7
51.681,8
51.681,9
51.681,10
51.385,11
51.385,12
51.591,13
51.591,14
51.422,15
51.422,16
51.176,17
51.176,0
51.176,1
51.514,2
51.514,3
51.443,4
51.443,5
50.725,6
50.725,7
50.725,8
50.914,9
50.914,10
51.006,11
51.006,12
51.35,13
51.35,14
51.35,15
51.294,16
51.294,17
51.587,0
51.587,1
51.587,2
51.992,3
51.992,4
51.907,5
51.907,6
51.907,7
51.637,8
51.637,9
51.544,10
51.544,11
51.659,12
51.659,13
51.884,14
51.884,15
51.463,16
51.463,17
51.463,0
51.463,1
51.255,2
51.255,3
51.03,4
51.03,5
51.03,6
51.733,7
51.733,8
51.159,9
51.159,10
50.996,11
50.996,12
51.697,13
51.697,14
51.697,15
51.989,16
51.989,17
51.515,0
51.515,1
51.515,2
51.515,3
51.913,4
51.913,5
51.868,6
51.868,7
51.944,8
51.944,9
52.034,10
52.034,11
52.034,12
51.767,13
51.767,14
51.675,15
51.675,16
51.829,17
51.829,0
51.829,1
52.252,2
52.252,3
52.252,4
51.992,5
51.992,6
51.609,7
51.609,8
51.609,9
51.381,10
51.381,11
51.698,12
51.698,13
51.598,14
51.598,15
51.598,16
51.654,17
51.654,0
51.762,1
51.762,2
51.762,3
51.575,4
51.575,5
51.909,6
51.909,7
51.909,8
51.508,9
51.508,10
51.522,11
51.522,12
51.398,13
51.398,14
51.565,15
51.565,16
51.565,17
52.063,0
52.063,1
52.063,2
52.336,3
52.336,4
52.469,5
52.469,6
52.469,7
52.21,8
52.21,9
51.948,10
51.948,11
52.143,12
52.143,13
52.117,14
52.117,15
51.951,16
51.951,17
51.951,0
52.201,1
52.201,2
52.201,3
52.564,4
52.564,5
52.855,6
52.855,7
52.688,8
52.688,9
52.288,10
52.288,11
52.288,12
52.215,13
52.215,14
52.018,15
52.018,16
51.887,17
51.887,0
51.887,1
51.674,2
51.674,3
51.674,4
51.847,5
51.847,6
52.327,7
52.327,8
51.756,9
51.756,10
51.822,11
51.822,12
51.844,13
51.844,14
51.844,15
51.843,16
51.843,17
51.843,0
52.099,1
52.099,2
52.341,3
52.341,4
52.341,5
52.827,6
52.827,7
52.481,8
52.481,9
52.519,10
52.519,11
52.519,12
52.54,13
52.54,14
52.529,15
52.529,16
52.529,17
52.373,0
52.373,1
52.373,2
52.652,3
52.652,4
52.652,5
52.351,6
52.351,7
52.327,8
52.327,9
52.5,10
52.5,11
52.5,12
51.962,13
51.962,14
52.145,15
52.145,16
52.223,17
52.223,0
52.223,1
52.089,2
52.089,3
52.089,4
52.081,5
52.081,6
52.081,7
51.853,8
51.853,9
52.217,10
52.217,11
51.875,12
51.875,13
51.585,14
51.585,15
51.585,16
51.997,17
51.997,0
51.997,1
51.724,2
51.724,3
51.686,4
51.686,5
51.686,6
52.158,7
52.158,8
52.1,9
52.1,10
52.025,11
52.025,12
52.149,13
52.149,14
52.149,15
52.134,16
52.134,17
52.255,0
52.255,1
52.255,2
52.743,3
52.743,4
52.743,5
52.799,6
52.799,7
52.25,8
52.25,9
52.24,10
52.24,11
52.24,12
51.823,13
51.823,14
52.409,15
52.409,16
51.997,17
51.997,0
52.374,1
52.374,2
52.374,3
52.338,4
52.338,5
52.301,6
52.301,7
52.436,8
52.436,9
52.614,10
52.614,11
52.511,12
52.511,13
52.198,14
52.198,15
52.198,16
51.891,17
51.891,0
52.066,1
52.066,2
52.066,3
52.315,4
52.315,5
52.387,6
52.387,7
52.124,8
52.124,9
51.656,10
51.656,11
51.864,12
51.864,13
51.91,14
51.91,15
51.91,16
51.786,17
51.786,0
52.159,1
52.159,2
52.159,3
52.415,4
52.415,5
52.415,6
52.276,7
52.276,8
52.252,9
52.252,10
52.043,11
52.043,12
52.043,13
51.704,14
51.704,15
51.266,16
51.266,17
51.935,0
51.935,1
52.454,2
52.454,3
52.454,4
52.497,5
52.497,6
52.201,7
52.201,8
51.99,9
51.99,10
52.69,11
52.69,12
52.69,13
52.974,14
52.974,15
52.54,16
52.54,17
52.488,0
52.488,1
52.488,2
52.512,3
52.512,4
52.57,5
52.57,6
51.966,7
51.966,8
52.523,9
52.523,10
52.499,11
52.499,12
52.499,13
52.3,14
52.3,15
52.422,16
52.422,17
52.361,0
52.361,1
52.361,2
52.342,3
52.342,4
52.342,5
52.717,6
52.717,7
52.404,8
52.404,9
52.06,10
52.06,11
52.31,12
52.31,13
52.374,14
52.374,15
51.98,16
51.98,17
51.98,0
51.736,1
51.736,2
51.969,3
51.969,4
52.124,5
52.124,6
52.164,7
52.164,8
52.371,9
52.371,10
52.393,11
52.393,12
52.393,13
52.363,14
52.363,15
52.29,16
52.29,17
52.114,0
52.114,1
52.114,2
52.789,3
52.789,4
52.53,5
52.53,6
52.127,7
52.127,8
52.303,9
52.303,10
52.695,11
52.695,12
52.006,13
52.006,14
52.006,15
51.737,16
51.737,17
51.707,0
51.707,1
51.707,2
51.704,3
51.704,4
52.06,5
52.06,6
52.338,7
52.338,8
52.861,9
52.861,10
52.861,11
52.78,12
52.78,13
52.367,14
52.367,15
52.465,16
52.465,17
52.465,0
52.497,1
52.497,2
52.497,3
52.777,4
52.777,5
53.223,6
53.223,7
53.223,8
53.657,9
53.657,10
52.736,11
52.736,12
52.334,13
52.334,14
52.354,15
52.354,16
52.354,17
52.648,0
52.648,1
52.648,2
52.738,3
52.738,4
52.325,5
52.325,6
52.325,7
52.203,8
52.203,9
52.978,10
52.978,11
52.549,12
52.549,13
52.404,14
52.404,15
52.404,16
52.338,17
52.338,0
52.338,1
52.848,2
52.848,3
52.702,4
52.702,5
52.872,6
52.872,7
52.872,8
52.685,9
52.685,10
52.665,11
52.665,12
52.665,13
52.817,14
52.817,15
52.94,16
52.94,17
52.94,0
52.586,1
52.586,2
52.586,3
52.952,4
52.952,5
53.034,6
53.034,7
52.991,8
52.991,9
52.991,10
52.505,11
52.505,12
52.622,13
52.622,14
52.622,15
52.478,16
52.478,17
52.294,0
52.294,1
52.294,2
52.331,3
52.331,4
52.437,5
52.437,6
52.597,7
52.597,8
52.246,9
52.246,10
52.38,11
52.38,12
52.38,13
53.122,14
53.122,15
52.896,16
52.896,17
53.166,0
53.166,1
53.166,2
53.408,3
53.408,4
53.408,5
52.766,6
52.766,7
52.758,8
52.758,9
52.823,10
52.823,11
52.679,12
52.679,13
52.679,14
52.72,15
52.72,16
52.842,17
52.842,0
52.842,1
52.241,2
52.241,3
52.241,4
52.151,5
52.151,6
52.151,7
52.066,8
52.066,9
52.392,10
52.392,11
52.566,12
52.566,13
51.75,14
51.75,15
51.75,16
51.843,17
51.843,0
51.794,1
51.794,2
51.794,3
51.973,4
51.973,5
52.175,6
52.175,7
52.175,8
52.483,9
52.483,10
51.854,11
51.854,12
52.071,13
52.071,14
52.15,15
52.15,16
52.15,17
52.39,0
52.39,1
52.39,2
52.574,3
52.574,4
52.546,5
52.546,6
52.546,7
52.706,8
52.706,9
52.429,10
52.429,11
52.214,12
52.214,13
52.155,14
52.155,15
52.163,16
52.163,17
52.163,0
52.22,1
52.22,2
52.22,3
52.195,4
52.195,5
51.873,6
51.873,7
51.873,8
51.95,9
51.95,10
51.836,11
51.836,12
51.836,13
52.012,14
52.012,15
52.06,16
52.06,17
52.06,0
51.981,1
51.981,2
51.981,3
52.064,4
52.064,5
52.221,6
52.221,7
52.013,8
52.013,9
51.833,10
51.833,11
51.833,12
52.072,13
52.072,14
51.742,15
51.742,16
52.26,17
52.26,0
52.26,1
52.477,2
52.477,3
52.477,4
52.061,5
52.061,6
51.976,7
51.976,8
51.885,9
51.885,10
52.006,11
52.006,12
51.491,13
51.491,14
51.509,15
51.509,16
51.404,17
51.404,0
51.404,1
51.651,2
51.651,3
51.503,4
51.503,5
51.503,6
52.345,7
52.345,8
52.583,9
52.583,10
52.361,11
52.361,12
52.361,13
52.419,14
52.419,15
52.428,16
52.428,17
52.428,0
52.821,1
52.821,2
52.932,3
52.932,4
52.932,5
52.572,6
52.572,7
52.754,8
52.754,9
52.56,10
52.56,11
52.655,12
52.655,13
52.744,14
52.744,15
52.724,16
52.724,17
52.724,0
52.238,1
52.238,2
52.238,3
52.799,4
52.799,5
52.532,6
52.532,7
52.532,8
52.651,9
52.651,10
52.908,11
52.908,12
53.107,13
53.107,14
53.302,15
53.302,16
53.302,17
52.759,0
52.759,1
52.759,2
53.609,3
53.609,4
53.507,5
53.507,6
53.507,7
53.303,8
53.303,9
53.028,10
53.028,11
53.028,12
52.773,13
52.773,14
52.717,15
52.717,16
52.717,17
53.121,0
53.121,1
53.216,2
53.216,3
53.332,4
53.332,5
53.332,6
52.833,7
52.833,8
52.833,9
52.971,10
52.971,11
53.104,12
53.104,13
52.553,14
52.553,15
52.553,16
52.171,17
52.171,0
52.432,1
52.432,2
52.432,3
52.895,4
52.895,5
52.817,6
52.817,7
52.817,8
52.543,9
52.543,10
52.385,11
52.385,12
52.385,13
52.63,14
52.63,15
52.676,16
52.676,17
52.676,0
52.165,1
52.165,2
51.97,3
51.97,4
51.97,5
51.885,6
51.885,7
52.634,8
52.634,9
52.543,10
52.543,11
52.543,12
52.517,13
52.517,14
52.745,15
52.745,16
52.66,17
52.66,0
52.66,1
53.003,2
53.003,3
53.003,4
53.501,5
53.501,6
53.501,7
53.222,8
53.222,9
52.915,10
52.915,11
52.915,12
52.807,13
52.807,14
53.148,15
53.148,16
53.069,17
53.069,0
53.069,1
53.33,2
53.33,3
52.659,4
52.659,5
52.659,6
52.8,7
52.8,8
53.038,9
53.038,10
53.499,11
53.499,12
52.888,13
52.888,14
52.453,15
52.453,16
52.453,17
52.55,0
52.55,1
52.55,2
53.177,3
53.177,4
53.177,5
52.323,6
52.323,7
52.37,8
52.37,9
52.608,10
52.608,11
52.502,12
52.502,13
52.635,14
52.635,15
52.745,16
52.745,17
52.745,0
52.642,1
52.642,2
52.642,3
52.605,4
52.605,5
52.588,6
52.588,7
53.124,8
53.124,9
53.124,10
53.055,11
53.055,12
52.846,13
52.846,14
52.887,15
52.887,16
52.509,17
52.509,0
52.509,1
52.509,2
52.904,3
52.904,4
52.963,5
52.963,6
52.648,7
52.648,8
52.715,9
52.715,10
52.715,11
52.674,12
52.674,13
52.555,14
52.555,15
52.555,16
52.699,17
52.699,0
52.699,1
53.004,2
53.004,3
53.004,4
53.108,5
53.108,6
53.108,7
52.765,8
52.765,9
52.673,10
52.673,11
52.673,12
52.694,13
52.694,14
53.146,15
53.146,16
53.589,17
53.589,0
53.589,1
53.413,2
53.413,3
53.413,4
53.629,5
53.629,6
53.332,7
53.332,8
53.616,9
53.616,10
53.616,11
53.582,12
53.582,13
53.318,14
53.318,15
52.758,16
52.758,17
52.758,0
53.314,1
53.314,2
53.314,3
53.235,4
53.235,5
52.895,6
52.895,7
52.895,8
52.604,9
52.604,10
52.72,11
52.72,12
52.915,13
52.915,14
52.915,15
52.089,16
52.089,17
52.83,0
52.83,1
52.83,2
53.441,3
53.441,4
53.441,5
52.984,6
52.984,7
52.897,8
52.897,9
52.943,10
52.943,11
53.084,12
53.084,13
52.485,14
52.485,15
52.485,16
52.017,17
52.017,0
52.449,1
52.449,2
52.449,3
52.775,4
52.775,5
52.68,6
52.68,7
52.68,8
52.676,9
52.676,10
52.543,11
52.543,12
52.579,13
52.579,14
52.579,15
52.553,16
52.553,17
52.44,0
52.44,1
52.44,2
52.627,3
52.627,4
52.917,5
52.917,6
52.917,7
52.631,8
52.631,9
52.631,10
52.352,11
52.352,12
52.454,13
52.454,14
52.733,15
52.733,16
52.406,17
52.406,0
52.406,1
52.363,2
52.363,3
52.363,4
51.949,5
51.949,6
51.949,7
51.957,8
51.957,9
52.033,10
52.033,11
52.378,12
52.378,13
52.404,14
52.404,15
52.683,16
52.683,17
52.683,0
52.827,1
52.827,2
52.827,3
52.456,4
52.456,5
52.291,6
52.291,7
52.291,8
52.17,9
52.17,10
51.802,11
51.802,12
52.431,13
52.431,14
52.271,15
52.271,16
52.439,17
52.439,0
52.439,1
52.439,2
52.34,3
52.34,4
52.393,5
52.393,6
52.425,7
52.425,8
52.27,9
52.27,10
52.27,11
52.639,12
52.639,13
52.886,14
52.886,15
52.35,16
52.35,17
52.35,0
52.35,1
51.974,2
51.974,3
51.974,4
52.678,5
52.678,6
52.652,7
52.652,8
52.365,9
52.365,10
52.365,11
52.592,12
52.592,13
52.522,14
52.522,15
53.204,16
53.204,17
53.204,0
53.279,1
53.279,2
53.279,3
53.167,4
53.167,5
53.153,6
53.153,7
52.97,8
52.97,9
52.97,10
52.737,11
52.737,12
53.015,13
53.015,14
52.851,15
52.851,16
53.016,17
53.016,0
53.016,1
52.315,2
52.315,3
52.315,4
52.57,5
52.57,6
53.014,7
53.014,8
53.02,9
53.02,10
53.02,11
52.614,12
52.614,13
53.113,14
53.113,15
53.113,16
53.032,17
53.032,0
52.922,1
52.922,2
52.922,3
52.839,4
52.839,5
52.582,6
52.582,7
52.582,8
53.28,9
53.28,10
52.739,11
52.739,12
52.221,13
52.221,14
52.554,15
52.554,16
52.57,17
52.57,0
52.57,1
52.57,2
52.639,3
52.639,4
52.368,5
52.368,6
52.463,7
52.463,8
52.463,9
52.601,10
52.601,11
52.221,12
52.221,13
52.244,14
52.244,15
52.542,16
52.542,17
52.542,0
52.37,1
52.37,2
52.534,3
52.534,4
52.594,5
52.594,6
52.594,7
52.761,8
52.761,9
53.086,10
53.086,11
52.886,12
52.886,13
52.855,14
52.855,15
53.055,16
53.055,17
53.055,0
53.327,1
53.327,2
53.327,3
53.345,4
53.345,5
53.376,6
53.376,7
53.781,8
53.781,9
53.781,10
53.902,11
53.902,12
53.032,13
53.032,14
52.871,15
52.871,16
52.871,17
52.95,0
52.95,1
52.95,2
53.301,3
53.301,4
53.301,5
53.446,6
53.446,7
53.475,8
53.475,9
53.717,10
53.717,11
53.628,12
53.628,13
53.239,14
53.239,15
53.276,16
53.276,17
53.276,0
53.514,1
53.514,2
53.463,3
53.463,4
53.463,5
53.229,6
53.229,7
53.236,8
53.236,9
53.282,10
53.282,11
53.702,12
53.702,13
53.702,14
53.693,15
53.693,16
53.633,17
53.633,0
53.633,1
53.515,2
53.515,3
53.982,4
53.982,5
53.733,6
53.733,7
53.733,8
53.53,9
53.53,10
53.758,11
53.758,12
53.785,13
53.785,14
53.999,15
53.999,16
53.782,17
53.782,0
53.782,1
53.782,2
53.701,3
53.701,4
54.089,5
54.089,6
53.28,7
53.28,8
53.28,9
53.249,10
53.249,11
53.602,12
53.602,13
53.815,14
53.815,15
53.813,16
53.813,17
53.813,0
53.76,1
53.76,2
53.76,3
53.76,4
54.066,5
54.066,6
53.186,7
53.186,8
53.447,9
53.447,10
53.325,11
53.325,12
53.23,13
53.23,14
53.23,15
53.805,16
53.805,17
54.016,0
54.016,1
54.016,2
53.996,3
53.996,4
53.573,5
53.573,6
53.573,7
53.546,8
53.546,9
53.265,10
53.265,11
53.459,12
53.459,13
53.459,14
53.579,15
53.579,16
53.397,17
53.397,0
53.397,1
53.397,2
53.464,3
53.464,4
53.615,5
53.615,6
53.615,7
53.887,8
53.887,9
53.485,10
53.485,11
53.378,12
53.378,13
53.848,14
53.848,15
53.81,16
53.81,17
53.81,0
53.414,1
53.414,2
53.414,3
53.263,4
53.263,5
53.786,6
53.786,7
54.13,8
54.13,9
54.007,10
54.007,11
54.007,12
53.953,13
53.953,14
53.544,15
53.544,16
53.945,17
53.945,0
53.945,1
53.814,2
53.814,3
53.904,4
53.904,5
53.904,6
53.696,7
53.696,8
53.585,9
53.585,10
54.029,11
54.029,12
53.932,13
53.932,14
53.778,15
53.778,16
54.043,17
54.043,0
54.043,1
54.061,2
54.061,3
54.061,4
53.817,5
53.817,6
53.683,7
53.683,8
53.578,9
53.578,10
53.28,11
53.28,12
53.28,13
53.099,14
53.099,15
52.923,16
52.923,17
52.923,0
53.563,1
53.563,2
53.563,3
53.395,4
53.395,5
53.433,6
53.433,7
53.439,8
53.439,9
53.439,10
53.747,11
53.747,12
53.8,13
53.8,14
53.258,15
53.258,16
52.965,17
52.965,0
52.965,1
53.166,2
53.166,3
53.166,4
53.369,5
53.369,6
53.652,7
53.652,8
53.478,9
53.478,10
53.478,11
53.671,12
53.671,13
53.303,14
53.303,15
53.045,16
53.045,17
53.045,0
53.392,1
53.392,2
53.392,3
53.346,4
53.346,5
52.676,6
52.676,7
52.935,8
52.935,9
53.327,10
53.327,11
53.327,12
53.386,13
53.386,14
53.344,15
53.344,16
53.464,17
53.464,0
53.464,1
54.247,2
54.247,3
54.247,4
54.372,5
54.372,6
53.796,7
53.796,8
53.796,9
53.38,10
53.38,11
53.422,12
53.422,13
53.424,14
53.424,15
53.424,16
53.913,17
53.913,0
53.913,1
53.53,2
53.53,3
53.602,4
53.602,5
53.602,6
53.487,7
53.487,8
54.121,9
54.121,10
53.611,11
53.611,12
53.611,13
53.571,14
53.571,15
53.837,16
53.837,17
53.837,0
53.699,1
53.699,2
53.699,3
53.755,4
53.755,5
53.846,6
53.846,7
53.846,8
53.934,9
53.934,10
54.299,11
54.299,12
54.584,13
54.584,14
54.584,15
54.147,16
54.147,17
54.343,0
54.343,1
54.343,2
54.211,3
54.211,4
53.607,5
53.607,6
53.97,7
53.97,8
54.022,9
54.022,10
54.022,11
53.9,12
53.9,13
53.582,14
53.582,15
53.512,16
53.512,17
53.512,0
53.512,1
53.842,2
53.842,3
53.803,4
53.803,5
53.818,6
53.818,7
53.532,8
53.532,9
54.038,10
54.038,11
54.038,12
53.815,13
53.815,14
53.88,15
53.88,16
53.665,17
53.665,0
53.665,1
53.722,2
53.722,3
53.722,4
53.917,5
53.917,6
53.73,7
53.73,8
53.613,9
53.613,10
53.594,11
53.594,12
53.594,13
53.742,14
53.742,15
53.457,16
53.457,17
53.477,0
53.477,1
53.477,2
53.959,3
53.959,4
53.959,5
53.125,6
53.125,7
53.629,8
53.629,9
53.629,10
53.583,11
53.583,12
53.677,13
53.677,14
53.359,15
53.359,16
53.359,17
53.361,0
53.361,1
53.361,2
53.556,3
53.556,4
53.556,5
54.027,6
54.027,7
54.027,8
54.21,9
54.21,10
54.383,11
54.383,12
54.176,13
54.176,14
54.176,15
54.016,16
54.016,17
54.061,0
54.061,1
53.944,2
53.944,3
53.944,4
53.457,5
53.457,6
53.929,7
53.929,8
53.929,9
54.472,10
54.472,11
54.447,12
54.447,13
54.235,14
54.235,15
53.682,16
53.682,17
53.682,0
53.378,1
53.378,2
53.378,3
53.906,4
53.906,5
53.906,6
53.701,7
53.701,8
53.889,9
53.889,10
53.979,11
53.979,12
53.951,13
53.951,14
53.613,15
53.613,16
53.842,17
53.842,0
53.842,1
53.978,2
53.978,3
53.978,4
54.027,5
54.027,6
53.447,7
53.447,8
53.447,9
53.592,10
53.592,11
53.839,12
53.839,13
53.565,14
53.565,15
53.626,16
53.626,17
53.626,0
54.02,1
54.02,2
53.987,3
53.987,4
53.987,5
53.538,6
53.538,7
53.759,8
53.759,9
53.773,10
53.773,11
53.773,12
53.575,13
53.575,14
53.647,15
53.647,16
53.467,17
53.467,0
53.467,1
53.559,2
53.559,3
53.559,4
53.564,5
53.564,6
53.275,7
53.275,8
53.275,9
53.511,10
53.511,11
53.908,12
53.908,13
53.103,14
53.103,15
53.147,16
53.147,17
53.147,0
52.932,1
52.932,2
52.932,3
52.483,4
52.483,5
52.483,6
53.034,7
53.034,8
53.043,9
53.043,10
52.88,11
52.88,12
53.239,13
53.239,14
53.717,15
53.717,16
53.717,17
53.49,0
53.49,1
53.49,2
53.503,3
53.503,4
53.503,5
53.246,6
53.246,7
53.505,8
53.505,9
52.864,10
52.864,11
52.864,12
53.043,13
53.043,14
53.176,15
53.176,16
53.025,17
53.025,0
53.025,1
53.329,2
53.329,3
53.603,4
53.603,5
53.603,6
53.421,7
53.421,8
53.4,9
53.4,10
53.671,11
53.671,12
53.335,13
53.335,14
53.335,15
53.049,16
53.049,17
53.42,0
53.42,1
53.42,2
53.828,3
53.828,4
54.12,5
54.12,6
54.12,7
54.069,8
54.069,9
53.548,10
53.548,11
53.548,12
53.815,13
53.815,14
53.813,15
53.813,16
54.054,17
54.054,0
54.054,1
54.054,2
53.71,3
53.71,4
53.618,5
53.618,6
53.618,7
54.015,8
54.015,9
53.871,10
53.871,11
54.619,12
54.619,13
54.619,14
54.477,15
54.477,16
54.244,17
54.244,0
54.244,1
54.214,2
54.214,3
54.214,4
54.035,5
54.035,6
53.692,7
53.692,8
53.61,9
53.61,10
53.756,11
53.756,12
53.756,13
54.263,14
54.263,15
54.199,16
54.199,17
54.415,0
54.415,1
54.415,2
53.966,3
53.966,4
53.966,5
53.764,6
53.764,7
53.463,8
53.463,9
53.558,10
53.558,11
53.558,12
53.489,13
53.489,14
53.826,15
53.826,16
53.384,17
53.384,0
53.384,1
53.542,2
53.542,3
53.542,4
53.95,5
53.95,6
54.328,7
54.328,8
54.026,9
54.026,10
54.594,11
54.594,12
53.927,13
53.927,14
53.927,15
53.557,16
53.557,17
53.378,0
53.378,1
53.378,2
53.473,3
53.473,4
53.473,5
53.751,6
53.751,7
54.284,8
54.284,9
54.206,10
54.206,11
54.133,12
54.133,13
54.133,14
54.072,15
54.072,16
53.954,17
53.954,0
53.954,1
54.373,2
54.373,3
54.748,4
54.748,5
54.903,6
54.903,7
54.404,8
54.404,9
54.404,10
54.415,11
54.415,12
54.623,13
54.623,14
53.982,15
53.982,16
54.215,17
54.215,0
54.215,1
54.215,2
54.316,3
54.316,4
54.53,5
54.53,6
54.576,7
54.576,8
54.576,9
54.544,10
54.544,11
54.292,12
54.292,13
54.134,14
54.134,15
54.134,16
54.681,17
54.681,0
54.283,1
54.283,2
54.283,3
54.645,4
54.645,5
54.392,6
54.392,7
54.135,8
54.135,9
53.719,10
53.719,11
53.719,12
53.849,13
53.849,14
53.891,15
53.891,16
54.389,17
54.389,0
54.389,1
54.389,2
54.555,3
54.555,4
54.312,5
54.312,6
54.312,7
54.328,8
54.328,9
54.232,10
54.232,11
54.5,12
54.5,13
54.5,14
54.184,15
54.184,16
54.2,17
54.2,0
54.2,1
54.2,2
54.458,3
54.458,4
54.2,5
54.2,6
54.2,7
54.11,8
54.11,9
54.147,10
54.147,11
54.147,12
54.372,13
54.372,14
54.185,15
54.185,16
54.499,17
54.499,0
54.499,1
54.601,2
54.601,3
53.89,4
53.89,5
53.89,6
54.09,7
54.09,8
53.862,9
53.862,10
53.862,11
54.295,12
54.295,13
54.243,14
54.243,15
54.577,16
54.577,17
54.105,0
54.105,1
54.105,2
53.948,3
53.948,4
53.948,5
54.063,6
54.063,7
54.114,8
54.114,9
53.759,10
53.759,11
53.759,12
53.701,13
53.701,14
53.938,15
53.938,16
54.124,17
54.124,0
54.124,1
54.354,2
54.354,3
54.354,4
54.649,5
54.649,6
54.441,7
54.441,8
54.19,9
54.19,10
54.323,11
54.323,12
54.431,13
54.431,14
54.431,15
54.337,16
54.337,17
54.608,0
